               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.050319,            0.020333,            0.036056,             0.61156,             0.63819,             0.66995,             0.31632,            0.046106,           0.0081386,             0.02557,            0.070057,            0.003327,            0.003327
                   1,            0.037287,            0.012764,            0.014105,             0.78532,             0.74513,             0.84536,             0.58631,            0.037685,           0.0065356,            0.020392,            0.040035,           0.0066384,           0.0066384
                   2,             0.03409,            0.012003,             0.01135,             0.72153,             0.73817,             0.75489,             0.48522,            0.038545,           0.0086878,            0.025662,           0.0099909,           0.0099277,           0.0099277
                   3,            0.032397,            0.012088,             0.01186,             0.89181,              0.8194,             0.87059,             0.55032,            0.037297,           0.0065541,            0.016617,            0.009901,            0.009901,            0.009901
                   4,            0.029371,            0.011612,             0.01047,             0.86428,             0.77249,             0.90113,             0.58527,            0.037316,           0.0065007,            0.025997,            0.009901,            0.009901,            0.009901
                   5,            0.026738,            0.011066,           0.0088866,             0.90924,             0.72218,             0.88264,             0.53558,            0.037188,           0.0060293,            0.029124,            0.009868,            0.009868,            0.009868
                   6,            0.025182,            0.010783,           0.0079772,             0.92504,             0.83949,             0.93745,             0.61122,            0.030778,           0.0057769,            0.015962,            0.009835,            0.009835,            0.009835
                   7,            0.023796,            0.010396,           0.0072702,             0.88527,             0.80987,             0.91093,             0.59361,            0.034822,           0.0054475,            0.021069,            0.009802,            0.009802,            0.009802
                   8,            0.022801,             0.01021,           0.0061713,              0.8378,             0.81997,             0.92005,              0.5815,             0.03302,           0.0056606,            0.025528,            0.009769,            0.009769,            0.009769
                   9,            0.022117,            0.010172,           0.0063807,              0.8436,             0.83742,             0.90412,             0.56164,            0.033952,           0.0059011,            0.021616,            0.009736,            0.009736,            0.009736
                  10,            0.021648,           0.0098528,             0.00497,             0.90755,             0.81829,              0.9354,             0.64271,            0.030531,           0.0060653,             0.01769,            0.009703,            0.009703,            0.009703
                  11,            0.021044,           0.0099339,           0.0065624,             0.80448,             0.82965,             0.87429,              0.5746,            0.032605,           0.0054361,            0.026205,             0.00967,             0.00967,             0.00967
                  12,            0.020811,           0.0097737,           0.0052453,             0.92997,             0.89392,             0.96772,             0.65259,            0.031841,           0.0050698,            0.015826,            0.009637,            0.009637,            0.009637
                  13,            0.020717,           0.0096667,           0.0054934,             0.81046,             0.84609,             0.92439,             0.63195,            0.030282,           0.0051219,            0.021404,            0.009604,            0.009604,            0.009604
                  14,            0.020981,           0.0095738,           0.0058156,             0.78443,             0.84998,             0.91549,             0.60797,            0.028637,           0.0051986,            0.023619,            0.009571,            0.009571,            0.009571
                  15,             0.02027,           0.0094715,           0.0053573,             0.91896,             0.83523,             0.95147,             0.63732,            0.029859,           0.0051923,            0.024372,            0.009538,            0.009538,            0.009538
                  16,            0.019149,           0.0093923,           0.0040445,             0.89799,             0.80948,             0.93005,             0.61015,            0.030867,           0.0050659,            0.026243,            0.009505,            0.009505,            0.009505
                  17,            0.019821,           0.0093984,           0.0049622,             0.79504,             0.79873,              0.8949,             0.59288,            0.030919,           0.0052579,            0.029058,            0.009472,            0.009472,            0.009472
                  18,            0.019114,            0.009362,           0.0043754,             0.84754,             0.80648,             0.92315,             0.63464,            0.028014,           0.0048901,             0.02771,            0.009439,            0.009439,            0.009439
                  19,            0.018818,           0.0091502,           0.0043677,             0.88162,             0.83181,             0.93749,             0.65842,            0.028988,           0.0049783,            0.027038,            0.009406,            0.009406,            0.009406
                  20,            0.019203,           0.0091606,           0.0044483,             0.81089,             0.85632,             0.93315,             0.64752,            0.030521,           0.0049272,            0.023271,            0.009373,            0.009373,            0.009373
                  21,            0.019308,           0.0092998,           0.0052479,             0.84193,             0.84689,             0.90793,             0.59566,            0.034756,           0.0051806,             0.02595,             0.00934,             0.00934,             0.00934
                  22,            0.018771,           0.0091952,           0.0045234,             0.89908,             0.84774,             0.94558,             0.64374,            0.029613,           0.0051086,            0.018403,            0.009307,            0.009307,            0.009307
                  23,            0.019156,           0.0093143,           0.0052385,             0.85493,             0.79908,             0.89385,             0.58745,            0.031172,           0.0050716,            0.019287,            0.009274,            0.009274,            0.009274
                  24,            0.018553,           0.0090752,           0.0041308,              0.9067,             0.80601,             0.94866,             0.63197,            0.031635,           0.0049324,             0.02788,            0.009241,            0.009241,            0.009241
                  25,            0.018222,           0.0090291,           0.0041096,             0.88294,              0.8478,              0.9497,             0.64681,            0.032891,           0.0048927,            0.024355,            0.009208,            0.009208,            0.009208
                  26,            0.018828,           0.0091275,           0.0037043,              0.8591,             0.88236,             0.95402,             0.65153,              0.0301,             0.00485,            0.020279,            0.009175,            0.009175,            0.009175
