               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.047174,            0.019476,            0.032704,             0.54368,             0.74265,             0.67921,             0.42481,            0.041304,            0.007594,            0.021095,            0.070057,            0.003327,            0.003327
                   1,            0.035343,            0.011942,            0.011703,             0.80091,             0.80534,             0.88977,             0.60749,            0.042831,           0.0064586,            0.014693,            0.039991,           0.0065944,           0.0065944
                   2,            0.032416,            0.011412,            0.011267,             0.89951,             0.77921,             0.92285,             0.61315,            0.039759,           0.0072071,            0.016195,           0.0098589,           0.0097958,           0.0097958
                   3,            0.031482,            0.011679,            0.011929,             0.58658,             0.76846,             0.71329,             0.40826,            0.042257,           0.0074992,            0.035884,            0.009703,            0.009703,            0.009703
                   4,             0.02849,            0.011216,           0.0095808,             0.71042,              0.8402,             0.85978,             0.55983,            0.033709,           0.0063191,            0.024541,            0.009703,            0.009703,            0.009703
                   5,            0.026307,            0.010863,           0.0088981,               0.859,              0.8265,             0.89856,             0.58977,            0.034013,           0.0059121,            0.024448,            0.009604,            0.009604,            0.009604
                   6,            0.024323,            0.010541,           0.0080604,             0.85398,             0.85807,             0.90302,             0.55729,            0.033402,           0.0058082,            0.016296,            0.009505,            0.009505,            0.009505
                   7,            0.023587,            0.010257,            0.007953,             0.87267,             0.87363,             0.92954,             0.61524,            0.031931,            0.005604,            0.017321,            0.009406,            0.009406,            0.009406
                   8,            0.021588,           0.0099701,           0.0059339,             0.87715,             0.85825,             0.92483,              0.6164,            0.027271,           0.0055867,            0.020415,            0.009307,            0.009307,            0.009307
                   9,            0.021336,           0.0098465,           0.0056393,             0.82372,              0.8405,             0.92058,             0.60625,            0.034705,           0.0052348,             0.02885,            0.009208,            0.009208,            0.009208
                  10,            0.020652,           0.0096461,           0.0053184,             0.87589,             0.77385,             0.91017,             0.60781,            0.033117,           0.0055191,            0.021418,            0.009109,            0.009109,            0.009109
                  11,             0.02001,           0.0096355,           0.0055355,             0.84368,             0.83312,             0.91874,             0.61137,            0.031848,           0.0051865,             0.02424,             0.00901,             0.00901,             0.00901
                  12,            0.019802,           0.0095074,           0.0053639,             0.85663,              0.8541,             0.92027,             0.62327,            0.029244,           0.0055936,            0.023913,            0.008911,            0.008911,            0.008911
                  13,            0.019905,           0.0094326,           0.0050436,             0.81734,             0.85349,             0.91747,             0.61937,            0.032115,           0.0052489,             0.02425,            0.008812,            0.008812,            0.008812
                  14,            0.019755,           0.0092595,           0.0053986,             0.86347,             0.80192,             0.89628,             0.60648,            0.028866,            0.005193,            0.026653,            0.008713,            0.008713,            0.008713
                  15,             0.01904,           0.0091019,           0.0054508,             0.89383,              0.8375,             0.93248,             0.62612,            0.030246,           0.0050879,            0.028191,            0.008614,            0.008614,            0.008614
                  16,            0.018319,            0.009048,           0.0039612,             0.84198,             0.85649,             0.90775,             0.59673,            0.030859,           0.0052946,            0.026023,            0.008515,            0.008515,            0.008515
                  17,            0.018644,           0.0089783,           0.0044747,             0.86574,             0.75748,             0.88198,             0.60688,            0.029668,           0.0054257,            0.030576,            0.008416,            0.008416,            0.008416
                  18,            0.018373,           0.0090462,           0.0043784,             0.86242,             0.88659,             0.94854,             0.65917,            0.029418,            0.004878,            0.027657,            0.008317,            0.008317,            0.008317
                  19,            0.018246,           0.0088254,           0.0039402,              0.8248,             0.82386,             0.91275,             0.62211,            0.030144,            0.004837,            0.029136,            0.008218,            0.008218,            0.008218
                  20,            0.018246,           0.0087279,           0.0037641,             0.87345,             0.85041,             0.92724,             0.65422,            0.029677,           0.0047483,             0.02674,            0.008119,            0.008119,            0.008119
                  21,            0.018092,           0.0089332,           0.0050932,             0.90938,             0.87732,             0.94361,             0.62177,            0.030684,           0.0050355,            0.020706,             0.00802,             0.00802,             0.00802
                  22,            0.017708,           0.0087878,           0.0037947,             0.92145,             0.88127,             0.95864,             0.66784,             0.02871,           0.0049724,            0.015689,            0.007921,            0.007921,            0.007921
                  23,            0.017606,           0.0087504,            0.004273,              0.8348,             0.82128,             0.91939,             0.64526,            0.027163,            0.005029,             0.03265,            0.007822,            0.007822,            0.007822
                  24,            0.017191,           0.0086682,           0.0043052,             0.86834,             0.85862,             0.93678,             0.64668,            0.029686,           0.0049073,            0.024918,            0.007723,            0.007723,            0.007723
                  25,            0.016933,            0.008564,           0.0034939,             0.89715,             0.83198,             0.95896,             0.67431,            0.028833,           0.0049238,            0.023667,            0.007624,            0.007624,            0.007624
